,County,percent_food_desert,pop2010_in_des,num_tracts,n_food_des,n_urban,n_rural,urban_des,rural_des,Rural,Urban,LILATracts_1And10,high_food_des_prev,cnty_obesity_pct,cnty_obesity_pct_adj,cnty_dm_pct,cnty_dm_pct_adj,cnty_inactive_pct,cnty_inactive_pct_adj,POP2010,OHU2010,NUMGQTRS,HUNVFlag,Adolescent_births,ABR,p_hs_edatt,PC_PHYS_R,DENTIST_R,PSYCH_R,PCT_HSPNC,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_AMIND_ESK,PCT_ISLANDER,PCT_MULTI,PCT_OTHER,PCT_65OVER,PCT_18_64,PCT_UNDR18,PCT_UNDER5,des_percent,unemployment_rate,n_hospitals,mort_30_ami,mort_30_cabg,mort_30_copd,mort_30_hf,mort_30_pn,mort_30_stk,readm_30_ami,readm_30_cabg,readm_30_copd,readm_30_hf,readm_30_hip_knee,readm_30_hosp_wide,readm_30_pn,readm_30_stk,Amebiasis,Anaplasmosis and Ehrlichiosis,Babesiosis,"Botulism, Foodborne","Botulism, Other","Botulism, Wound",Brucellosis,Campylobacteriosis,Chlamydia,Cholera,Ciguatera Fish Poisoning,Coccidioidomycosis,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Cryptosporidiosis,Cysticercosis or Taeniasis,Dengue,Diphtheria,E. coli O157,E. coli Other STEC (non-O157),Early Syphilis,Giardiasis,Gonorrhea,HIV,Hantavirus Infection,Hemolytic Uremic Syndrome,Influenza Death (<65 years of age),Invasive Meningococcal Disease,Legionellosis,Leprosy,Leptospirosis,Listeriosis,Lyme Disease,Malaria,Measles,Mumps,Paralytic Shellfish Poisoning,Pertussis,"Plague, human",Psittacosis,Q Fever,"Rabies, human",Relapsing Fever,Rubella,Salmonellosis,Scombroid Fish Poisoning,Shiga Toxin Positive Feces (without culture confirmation),Shigellosis,Spotted Fever Rickettsiosis,Staphylococcus aureus Infection (cases resulting in death or ICU),Streptococcal Infection (cases in food and dairy workers),Tetanus,Toxic Shock Syndrome (Non-Streptococcal),Trichinosis,Tuberculosis,Tularemia,"Typhoid Fever, case",Typhus Fever,Varicella Hospitalizations,Vibrio Infection (non-Cholera),Yersiniosis,Cnty_Fips,opiods_rx_1000
23,Merced,0.220615888629,56432.0,49.0,10.0,36.0,13.0,10.0,0.0,0.265306122449,0.734693877551,0.204081632653,0.0,31.3,31.1,8.0,8.2,18.7,18.9,255793,75642,4896.0,14,1415.0,42.45,66.9,2258.94333333,5483.35,19784.7783333,58.8933333333,65.705,3.89833333333,7.81833333333,1.82666666667,0.396666666667,2.71166666667,23.255,8.66833333333,59.2366666667,32.0966666667,8.82166666667,0.204081632653,13.5834782609,28.0,15.6,,8.5,13.2,12.75,16.0,16.1,,21.6,22.25,4.2,15.4,17.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54,388.845,0.0,0.0,21.885,0.0,0.391,0.0,0.0,0.0,0.782,0.391,2.736,2.345,29.701,7.425,0.0,0.391,0.0,0.0,0.0,0.0,0.0,0.391,0.0,0.0,0.0,0.0,0.0,51.195,0.0,0.0,0.391,0.0,0.0,0.0,12.115,0.0,1.954,1.172,0.0,0.391,0.0,0.0,0.0,0.0,2.345,0.0,0.0,0.0,0.0,0.0,0.782,47,658.96
24,Modoc,0.636795374768,6168.0,4.0,3.0,1.0,3.0,0.0,3.0,0.75,0.25,0.75,1.0,25.1,24.8,8.8,6.8,20.4,18.8,9686,4064,357.0,1,10.0,16.1,81.668627451,336.333333333,718.286666667,0.0,14.58,90.1333333333,0.606666666667,1.46333333333,4.74,0.543333333333,1.61666666667,4.13666666667,20.3233333333,57.5833333333,22.0966666667,6.32666666667,0.75,11.9818181818,28.0,,,,,13.2,,,,,,,15.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1321.18
25,Mono,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,20.8,20.5,6.6,6.6,12.6,12.7,14202,5768,222.0,1,23.0,17.9,81.668627451,1908.64,1007.75,0.0,23.225,84.875,1.17,0.26,6.695,0.905,2.36,8.735,8.505,70.325,21.17,6.785,0.0,6.27222222222,14.0,,,,,,,,,,,5.0,15.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.051,210.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.051,0.0,14.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.025,0.0,0.0,0.0,0.0,126.458,0.0,0.0,0.0,0.0,7.025,0.0,7.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,420.4
26,Monterey,0.0828271779539,34378.0,93.0,7.0,77.0,16.0,6.0,1.0,0.172043010753,0.827956989247,0.0752688172043,0.0,22.8,22.7,6.9,7.0,15.4,15.4,415057,125946,18702.0,9,2128.0,35.925,70.8,2363.035,4363.465,4488.01875,47.19875,78.30125,3.01125,5.675,2.2975,1.11625,3.37125,13.69125,9.7925,64.6125,25.59375,7.4225,0.0752688172043,9.73473684211,56.0,12.8,2.95,7.2,11.475,13.0,13.5666666667,15.85,14.4,20.95,20.275,4.75,14.575,16.1,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.135,342.572,0.0,0.0,13.213,0.24,0.0,0.48,0.24,0.0,0.48,0.0,3.123,1.682,19.459,5.525,0.0,0.0,0.0,0.24,0.721,0.0,0.0,0.48,0.24,0.721,0.0,0.0,0.0,31.711,0.0,0.0,0.0,0.0,0.0,0.0,12.732,0.0,0.0,4.564,0.0,1.441,0.0,0.0,0.0,0.0,5.045,0.0,0.0,0.0,0.0,0.48,0.24,53,586.22
27,Napa,0.0,0.0,40.0,0.0,31.0,9.0,0.0,0.0,0.225,0.775,0.0,0.0,23.6,23.4,7.2,6.3,14.2,13.7,136484,48876,4918.0,2,301.0,22.3,82.5,1643.25,2423.21333333,3442.78666667,28.405,83.8016666667,2.24666666667,8.01833333333,1.79,0.515,2.595,6.37,15.7,62.4216666667,21.8783333333,5.86333333333,0.0,6.70547945205,28.0,14.6,3.25,6.85,10.7,11.15,14.7,16.9,15.9,20.75,22.6,5.15,14.2,16.1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.623,194.429,0.0,0.0,0.731,0.0,1.462,0.0,0.0,0.0,2.193,0.0,2.193,3.655,20.466,5.117,0.0,0.0,0.0,1.462,0.0,0.0,0.0,1.462,0.0,0.731,0.0,0.0,0.0,18.273,0.0,0.0,0.0,0.0,0.0,0.0,9.502,0.0,0.0,2.193,0.0,0.0,0.0,0.0,0.0,0.0,4.386,0.731,0.0,0.0,0.731,1.462,0.0,55,800.72
28,Nevada,0.171469361306,16935.0,20.0,3.0,10.0,10.0,3.0,0.0,0.5,0.5,0.15,0.0,18.5,18.0,7.2,5.5,13.4,12.4,98764,41527,1175.0,3,138.0,16.9,94.9,1547.345,1400.7,3945.9,10.17,94.48,0.64,1.675,2.32,0.295,2.205,2.915,13.88,64.855,21.265,5.38,0.15,7.83902439024,28.0,13.2,,7.2,11.35,9.85,15.3,17.0,,20.9,20.9,5.05,15.35,16.75,12.6,1.014,0.0,0.0,0.0,0.0,0.0,0.0,13.181,144.994,0.0,0.0,1.014,1.014,0.0,0.0,1.014,0.0,1.014,0.0,1.014,12.167,7.098,2.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028,1.014,1.014,0.0,0.0,0.0,23.321,0.0,0.0,0.0,0.0,1.014,0.0,16.223,0.0,0.0,0.0,2.028,1.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,1040.18
29,Orange,0.00870165488906,26194.0,583.0,6.0,579.0,4.0,6.0,0.0,0.00686106346484,0.993138936535,0.0102915951973,0.0,20.4,20.3,7.4,7.3,16.0,16.0,3010232,992781,39236.0,45,6635.0,19.137037037,83.1,1906.12296296,1496.55296296,23790.9596296,32.4066666667,64.7337037037,2.07111111111,19.057037037,0.925925925926,0.549259259259,2.78259259259,15.6348148148,11.5281481481,63.6692592593,24.8014814815,6.54333333333,0.0102915951973,6.69711846318,322.0,13.5375,2.8,7.32352941176,11.2352941176,10.9105263158,13.76875,16.7294117647,14.4888888889,20.3823529412,21.8944444444,4.66666666667,14.8818181818,16.7473684211,12.9125,0.53,0.0,0.0,0.0,0.0,0.033,0.099,12.23,267.23,0.0,0.0,1.293,0.133,0.762,0.232,0.166,0.0,0.431,0.166,4.077,4.375,37.683,9.28,0.0,0.066,0.066,0.265,0.663,0.0,0.0,0.166,0.199,0.099,0.066,0.0,0.0,16.538,0.0,0.0,0.0,0.0,0.0,0.0,12.992,0.099,0.398,2.685,0.033,0.497,0.0,0.0,0.033,0.0,7.424,0.0,0.066,0.298,0.298,0.298,0.331,59,509.28
30,Placer,0.0729927216788,25433.0,85.0,6.0,69.0,16.0,6.0,0.0,0.188235294118,0.811764705882,0.0705882352941,0.0,22.8,22.6,7.2,6.2,14.5,13.9,348432,132627,3807.0,5,427.0,12.5666666667,93.2,3089.46666667,2401.11333333,8716.76833333,12.4716666667,90.3916666667,1.34333333333,4.81,2.05,0.493333333333,2.92666666667,4.00166666667,14.7516666667,63.1683333333,22.0833333333,5.26166666667,0.0705882352941,7.3095890411,42.0,14.3,,7.45,11.9,9.75,15.45,15.25,,18.65,18.95,4.7,14.2333333333,16.7,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.417,171.866,0.0,0.0,0.285,0.285,0.856,0.0,0.571,0.0,0.571,0.0,1.427,2.569,18.272,2.569,0.0,0.0,0.285,0.0,0.571,0.0,0.0,0.285,0.0,0.285,0.0,0.0,0.0,22.839,0.0,0.0,0.0,0.0,0.285,0.0,15.131,0.571,0.0,1.142,0.0,0.0,0.0,0.0,0.285,0.0,0.856,0.0,0.856,0.0,0.0,0.856,0.0,61,896.8
31,Plumas,0.237916729145,4760.0,7.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.142857142857,0.0,23.0,22.5,9.3,6.9,17.7,16.2,20007,8977,277.0,0,37.0,25.0,90.7,802.772,1665.05,1308.4,7.256,94.064,0.866,1.006,4.666,0.07,2.186,1.878,20.708,62.002,17.286,3.448,0.142857142857,10.85,42.0,,,,11.4,10.8333333333,,,,,22.35,,15.1666666667,16.9333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024,276.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024,0.0,0.0,10.048,15.072,5.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.048,0.0,0.0,0.0,0.0,0.0,0.0,5.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,1351.18
32,Riverside,0.129026630393,282522.0,453.0,54.0,404.0,49.0,53.0,1.0,0.108167770419,0.891832229581,0.119205298013,0.0,27.0,26.9,9.5,9.1,20.3,20.1,2189641,686260,35829.0,39,7848.0,31.3130434783,78.8,4160.25043478,3227.71,24776.9208696,44.2295652174,68.7717391304,7.32260869565,5.82391304348,1.93391304348,0.524347826087,3.61347826087,19.4504347826,12.3847826087,60.4330434783,27.1804347826,7.21,0.119205298013,11.0154362416,224.0,14.5666666667,3.525,8.16923076923,11.1916666667,12.0333333333,15.2833333333,16.9333333333,14.8,20.0785714286,22.5076923077,4.65454545455,15.45625,17.0266666667,13.2416666667,0.182,0.0,0.0,0.0,0.0,0.091,0.0,6.706,323.598,0.0,0.0,3.787,0.046,0.319,0.091,0.091,0.0,0.182,0.091,8.531,1.46,35.266,9.444,0.0,0.0,0.182,0.091,0.684,0.0,0.0,0.137,0.0,0.319,0.0,0.046,0.0,21.306,0.0,0.0,0.0,0.0,0.0,0.0,9.353,0.0,0.365,1.916,0.0,0.228,0.0,0.0,0.0,0.0,3.33,0.0,0.137,0.0,0.0,0.137,0.091,65,583.28
33,Sacramento,0.0813102450824,115362.0,317.0,25.0,304.0,13.0,25.0,0.0,0.0410094637224,0.958990536278,0.0788643533123,0.0,27.7,27.4,9.2,9.0,18.4,18.3,1418788,513945,23787.0,56,4300.0,25.65,84.9,3564.5525,2410.42,7192.84,21.050625,64.881875,10.77125,16.66875,2.285,1.283125,5.17,9.756875,12.00375,62.37375,25.62125,6.880625,0.0788643533123,9.93961352657,126.0,14.1714285714,2.375,7.96666666667,11.15,11.4857142857,15.225,17.2285714286,12.875,20.8,22.4625,4.33333333333,15.425,16.6142857143,12.625,0.07,0.0,0.07,0.0,0.0,0.07,0.0,12.463,594.33,0.0,0.0,1.056,0.0,0.915,0.0,0.0,0.0,0.704,0.07,6.689,3.45,133.004,12.674,0.0,0.0,0.0,0.493,0.0,0.07,0.0,0.211,0.07,0.211,0.0,0.0,0.0,12.322,0.0,0.0,0.211,0.0,0.0,0.0,9.365,0.0,0.141,1.69,0.0,1.127,0.0,0.0,0.0,0.0,4.577,0.141,0.563,0.0,0.07,0.422,0.0,67,853.64
34,San Benito,0.145289402739,8030.0,11.0,2.0,8.0,3.0,2.0,0.0,0.272727272727,0.727272727273,0.181818181818,0.0,24.3,24.0,7.4,7.3,15.1,15.1,55269,16805,289.0,0,150.0,21.7,74.7,2724.6,3027.33,18164.0,54.75,73.17,1.52,4.53,2.78,0.54,5.37,23.36,9.41,60.88,29.7,7.65,0.181818181818,11.3282051282,14.0,13.4,,7.2,11.3,14.2,15.1,17.6,,20.8,22.2,5.2,15.4,17.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.073,319.887,0.0,0.0,1.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.422,0.0,16.265,7.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.651,0.0,0.0,0.0,0.0,0.0,0.0,23.495,0.0,0.0,10.844,0.0,0.0,0.0,0.0,0.0,0.0,1.807,0.0,0.0,0.0,0.0,0.0,0.0,69,636.38
35,San Bernardino,0.175374040025,356923.0,369.0,64.0,333.0,36.0,59.0,5.0,0.0975609756098,0.90243902439,0.173441734417,0.0,28.2,27.9,8.5,8.7,20.4,20.6,2035210,611618,40054.0,50,9279.0,39.172,77.7,3403.11961538,3020.20961538,16879.3811538,36.3507692308,72.0296153846,8.16538461538,5.555,2.62961538462,0.59,3.74961538462,15.0488461538,10.2588461538,62.175,27.5665384615,7.92961538462,0.173441734417,10.9194174757,266.0,13.65,2.75,7.44285714286,11.3866666667,11.75,13.8181818182,17.1875,15.15,20.1142857143,22.5,4.7625,14.95625,16.6933333333,13.0363636364,0.147,0.049,0.0,0.0,0.0,0.0,0.049,7.8,426.045,0.0,0.0,3.434,0.098,0.392,0.098,0.0,0.0,0.441,0.147,2.943,1.57,55.923,9.468,0.0,0.098,0.049,0.196,0.441,0.0,0.0,0.294,0.0,0.147,0.049,0.0,0.0,8.928,0.0,0.0,0.245,0.0,0.0,0.0,10.253,0.0,0.098,1.962,0.0,1.472,0.0,0.0,0.0,0.0,2.943,0.0,0.294,0.0,0.098,0.196,0.049,71,608.56
36,San Diego,0.0321095152574,99389.0,628.0,22.0,598.0,30.0,20.0,2.0,0.0477707006369,0.952229299363,0.0350318471338,0.0,23.1,22.9,7.5,7.5,16.1,16.2,3095313,1086865,101966.0,47,8267.0,23.95,85.1,2684.88447368,3058.97210526,9507.45210526,29.0702631579,76.7368421053,5.45368421053,10.4707894737,2.91236842105,0.827105263158,4.12421052632,7.98052631579,11.9144736842,64.4471052632,23.6381578947,6.44868421053,0.0350318471338,7.84487179487,238.0,13.6428571429,3.2,7.53333333333,11.26875,10.7875,14.3428571429,16.3785714286,15.1,19.5,21.53125,4.81428571429,14.83125,16.675,12.85,2.224,0.0,0.0,0.0,0.0,0.129,0.064,18.724,495.117,0.0,0.032,4.415,0.322,0.773,0.161,0.258,0.0,0.612,0.419,14.696,9.217,65.197,0.0,0.0,0.161,0.064,0.355,0.677,0.032,0.0,0.258,0.322,0.226,0.161,0.0,0.0,36.74,0.0,0.0,0.0,0.0,0.0,0.0,16.855,0.129,0.258,0.645,0.032,0.097,0.0,0.0,0.064,0.0,7.155,0.0,0.226,0.0,0.29,0.483,0.483,73,526.14
37,San Francisco,0.038214931045,30772.0,196.0,10.0,194.0,2.0,10.0,0.0,0.0102040816327,0.989795918367,0.0510204081633,0.0,16.0,16.0,6.9,7.0,15.9,16.0,805235,345811,24264.0,23,636.0,13.3857142857,85.5,1529.67,1864.685,6327.0925,14.27875,53.65375,7.2675,36.3925,1.23875,0.7275,3.5325,4.575,13.8625,72.33625,13.80125,4.45125,0.0510204081633,7.41079812207,154.0,14.4142857143,3.15,7.17142857143,11.3222222222,11.07,14.575,17.7,15.65,20.5142857143,22.9777777778,4.48333333333,15.0111111111,17.41,12.725,13.146,0.0,0.124,0.0,0.0,0.0,0.124,49.112,570.497,0.0,0.0,0.372,0.372,1.736,0.372,0.372,0.0,0.62,0.124,79.746,21.952,240.229,55.437,0.0,0.0,0.0,0.124,0.248,0.0,0.0,0.372,0.62,0.248,0.248,0.0,0.0,17.487,0.0,0.0,0.0,0.0,0.0,0.124,20.712,0.0,0.248,13.27,0.0,1.736,0.0,0.0,0.0,0.0,12.154,0.124,0.372,0.0,0.0,2.232,0.248,75,514.08
38,San Joaquin,0.0468082871009,32078.0,139.0,7.0,121.0,18.0,7.0,0.0,0.129496402878,0.870503597122,0.0503597122302,0.0,31.0,30.6,9.5,9.4,21.3,21.3,685306,215007,14354.0,15,2821.0,26.76,75.7,6386.294,3908.676,9806.932,33.998,68.502,7.294,14.775,2.29,0.799,5.193,12.045,10.957,60.407,28.637,7.349,0.0503597122302,12.4027149321,98.0,14.6166666667,5.2,9.0,12.05,12.9333333333,16.4333333333,16.52,14.5,20.75,23.25,4.74,15.6571428571,16.9333333333,13.0166666667,1.165,0.0,0.0,0.0,0.0,0.0,0.146,33.5,535.119,0.0,0.0,8.011,0.0,0.728,0.146,0.146,0.0,1.893,0.0,6.409,7.137,103.266,13.691,0.0,0.437,0.0,0.291,0.291,0.0,0.0,0.437,0.0,0.437,0.0,0.0,0.0,12.235,0.0,0.0,0.291,0.0,0.0,0.0,16.75,0.0,0.0,5.098,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.437,0.291,77,791.36
39,San Luis Obispo,0.0235390543583,6347.0,53.0,2.0,40.0,13.0,2.0,0.0,0.245283018868,0.754716981132,0.0377358490566,0.0,20.0,19.8,6.7,6.0,14.6,14.1,269637,102016,17006.0,8,483.0,19.26,88.4,2089.598,1819.378,16119.71,19.216,87.626,2.488,3.978,2.16,0.306,3.148,6.722,15.134,65.522,19.346,5.072,0.0377358490566,7.57983193277,42.0,15.3666666667,2.7,9.36666666667,11.6666666667,10.7666666667,14.9,15.85,14.7,19.4333333333,20.8333333333,4.6,14.5666666667,16.6,12.3333333333,0.0,0.0,0.371,0.0,0.0,0.0,0.0,37.452,249.558,0.0,0.0,60.443,0.371,8.529,0.371,0.371,0.0,2.596,2.967,0.0,3.337,11.495,7.045,0.0,0.742,0.0,0.0,0.371,0.0,0.0,0.0,0.0,0.742,0.0,0.0,0.0,137.572,0.0,0.0,0.0,0.0,0.0,0.0,12.608,0.371,0.0,1.854,0.0,0.0,0.0,0.0,0.0,0.0,1.483,0.0,0.0,0.0,0.742,0.0,0.0,79,822.56
40,San Mateo,0.0202616462361,14557.0,158.0,3.0,151.0,7.0,3.0,0.0,0.0443037974684,0.955696202532,0.0189873417722,0.0,20.0,19.7,7.2,6.6,15.4,15.2,718451,257837,8853.0,10,955.0,14.3555555556,88.3,2356.471,1494.647,6160.407,24.799,68.91,3.174,21.076,0.957,1.675,3.889,8.506,12.816,64.633,22.548,6.348,0.0189873417722,6.066875,98.0,13.4,3.26666666667,8.2,10.6,11.0666666667,14.9,15.8333333333,14.1333333333,19.2666666667,20.8,4.36666666667,14.8571428571,16.4333333333,12.55,0.973,0.0,0.0,0.0,0.0,0.0,0.0,32.793,273.321,0.0,0.0,0.834,0.0,4.308,0.0,0.417,0.0,1.112,0.695,4.724,7.781,29.319,7.365,0.139,0.278,0.0,0.695,0.556,0.139,0.0,0.556,0.278,0.0,0.0,0.0,0.0,26.54,0.0,0.0,0.139,0.0,0.0,0.0,19.176,0.417,0.139,2.64,0.0,0.278,0.0,0.0,0.139,0.0,8.198,0.0,1.251,0.0,0.0,0.834,0.417,81,492.12
41,Santa Barbara,0.018820698522,7978.0,90.0,3.0,77.0,13.0,2.0,1.0,0.144444444444,0.855555555556,0.0333333333333,0.0,19.2,19.2,6.6,6.4,15.0,14.9,423895,142104,17782.0,9,1493.0,27.8875,79.8,3307.525,2134.91375,11549.8725,42.6375,79.69875,1.97625,5.04875,2.3325,0.30375,3.28,14.15625,12.9125,63.37625,23.71125,6.69125,0.0333333333333,7.25,70.0,13.8,3.25,9.3,11.84,12.06,16.6333333333,16.75,13.95,19.3666666667,20.54,4.3,14.42,15.9,10.9666666667,0.472,0.0,0.0,0.0,0.0,0.0,0.0,21.697,335.597,0.0,0.0,8.49,0.0,4.717,0.236,0.0,0.0,0.472,0.0,1.179,6.603,15.565,3.302,0.0,0.472,0.0,0.708,0.0,0.0,0.0,0.943,0.472,0.0,0.0,0.0,0.0,15.565,0.0,0.0,0.0,0.0,0.0,0.0,12.735,0.236,0.472,3.066,0.236,0.0,0.0,0.0,0.0,0.0,7.075,0.0,0.472,0.0,0.0,0.236,0.0,83,659.16
42,Santa Clara,0.0425876803533,75876.0,372.0,14.0,363.0,9.0,14.0,0.0,0.0241935483871,0.975806451613,0.0376344086022,0.0,21.0,20.8,7.6,7.6,16.2,16.2,1781642,604204,30350.0,34,3150.0,18.20625,86.2,3736.345,1229.455625,19500.59,26.91,53.93,3.209375,32.931875,1.200625,0.66375,3.8725,12.19125,10.65125,65.13625,24.211875,7.20125,0.0376344086022,7.42777777778,154.0,14.1444444444,3.3,7.3,11.575,10.5625,15.0333333333,17.5,14.78,20.2571428571,21.8,4.93333333333,15.1888888889,17.1375,12.6666666667,0.616,0.0,0.0,0.0,0.0,0.056,0.0,20.822,316.535,0.0,0.0,1.623,0.0,1.399,0.056,0.448,0.0,0.672,0.224,6.269,6.549,33.473,7.892,0.0,0.112,0.0,0.224,0.112,0.168,0.0,0.616,0.336,1.343,0.28,0.056,0.0,26.756,0.0,0.0,0.0,0.0,0.0,0.0,17.856,0.112,0.56,2.295,0.0,0.672,0.0,0.0,0.0,0.0,10.803,0.0,1.511,0.0,0.056,0.28,0.0,85,438.88
43,Santa Cruz,0.0762094960782,19996.0,52.0,4.0,45.0,7.0,4.0,0.0,0.134615384615,0.865384615385,0.0769230769231,0.0,20.1,19.8,6.0,5.9,11.0,11.0,262382,94355,10969.0,4,674.0,26.475,84.6,2040.94166667,6807.125,5418.99166667,26.9716666667,89.4533333333,1.94166666667,4.56,1.685,0.281666666667,3.52666666667,6.61166666667,9.82333333333,69.1116666667,21.6166666667,5.54333333333,0.0769230769231,9.27155172414,42.0,14.7,2.7,8.2,13.5,12.35,14.05,15.75,14.6,20.85,20.5,4.73333333333,14.0666666667,16.1,11.6,0.0,0.38,0.0,0.0,0.0,0.0,0.76,19.758,289.154,0.0,0.0,1.9,0.0,3.8,0.38,0.0,0.0,1.52,1.52,4.94,3.8,17.858,3.42,0.0,0.38,0.0,0.38,0.76,0.0,0.0,0.0,2.66,0.76,0.0,0.0,0.0,33.057,0.0,0.0,0.0,0.0,0.0,0.0,11.779,0.76,0.38,2.66,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.38,0.0,0.0,87,784.92
44,Shasta,0.21515830338,38131.0,48.0,9.0,27.0,21.0,8.0,1.0,0.4375,0.5625,0.1875,0.0,28.0,28.0,9.0,7.5,19.9,19.0,177223,70346,2654.0,11,513.0,31.575,87.9,2932.99875,2214.99375,590.25625,6.435,92.15125,1.25625,2.85625,5.69125,0.4025,4.20375,2.18625,18.42375,61.30125,20.275,4.67625,0.1875,10.9352941176,56.0,13.85,2.9,8.43333333333,13.0,12.9666666667,16.6,17.8,15.4,20.0333333333,20.5,4.95,14.7,16.8,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.326,234.423,0.0,0.0,0.564,0.0,0.564,0.564,0.0,0.0,0.564,0.0,0.564,1.127,20.287,2.254,0.0,0.0,0.0,1.127,0.0,0.0,0.0,0.0,0.564,0.0,0.0,0.0,0.0,18.033,0.0,0.0,0.0,0.0,0.0,0.0,10.707,0.0,0.564,1.691,0.0,1.691,0.0,0.0,0.0,0.0,1.127,0.0,0.0,0.0,0.0,0.0,0.0,89,1382.94
45,Sierra,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.4,22.8,9.5,6.9,19.3,17.4,3240,1482,33.0,0,0.0,0.0,81.668627451,0.0,1122.0,0.0,7.84,93.35,1.25,0.15,0.53,0.0,0.62,5.35,20.14,62.57,17.29,4.25,0.0,11.0266666667,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,1393.0
46,Siskiyou,0.280824053452,12609.0,14.0,5.0,3.0,11.0,1.0,4.0,0.785714285714,0.214285714286,0.357142857143,1.0,23.3,22.8,8.8,6.7,19.8,18.3,44900,19505,474.0,3,103.0,38.42,89.3,1362.985,1632.0525,1029.75,13.7175,91.1275,2.4475,2.49125,7.91875,0.415,6.5125,2.6675,18.6925,60.2525,21.0525,4.96625,0.357142857143,12.5833333333,28.0,,,7.9,13.25,13.9,17.0,,,20.1,20.65,4.3,14.75,15.75,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.956,162.598,0.0,0.0,0.0,0.0,8.909,0.0,0.0,0.0,4.455,2.227,0.0,13.364,13.364,2.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.274,0.0,0.0,0.0,0.0,0.0,0.0,6.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,1254.24
